question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info,answer_to_prompt_1,answer_to_prompt_2,input_tokens_1,input_tokens_2,output_tokens_1,output_tokens_2,reasoning_tokens_1,reasoning_tokens_2
1,"2,3-Dimethylpentanal",CCC(C)C(C)C=O,,,алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ,rata,Какие из следующих описаний запаха относятся к молекуле CCC(C)C(C)C=O? Выберите все подходящие из [алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,"Какие из следующих описаний запаха относятся к молекуле 2,3-Dimethylpentanal? Выберите все подходящие из [алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.",эфирный;зелёный;,,альдегидный; яблочный; зеленый; фруктовый; свежий; травянистый,альдегидный; цитрусовый; свежий; фруктовая кожура; апельсиновый; зелёный; резкий; древесный,758,760,24,35,6145,1114
2,Diisopentyl succinate,CC(C)CCOC(=O)CCC(=O)OCCC(C)C,,,алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ,rata,Какие из следующих описаний запаха относятся к молекуле CC(C)CCOC(=O)CCC(=O)OCCC(C)C? Выберите все подходящие из [алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,Какие из следующих описаний запаха относятся к молекуле Diisopentyl succinate? Выберите все подходящие из [алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,виноградный;винный;фруктовый;,,яблочный; фруктовый; зелёный,яблочный; ананасовый; фруктовый; тропический; сладкий; сочный; зелёный,767,758,12,26,3403,1028
3,"1,1-Diethoxyisooctane",CCOC(CCCCC(C)C)OCC,,,алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ,rata,Какие из следующих описаний запаха относятся к молекуле CCOC(CCCCC(C)C)OCC? Выберите все подходящие из [алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,"Какие из следующих описаний запаха относятся к молекуле 1,1-Diethoxyisooctane? Выберите все подходящие из [алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.",зелёный;фруктовый;листовой;,,алкогольный; альдегидный; грушевый; зелёный; восковой,яблочный; цитрусовый; зелёный; фруктовый; маслянистый; жирный; восковой; сладкий; свежий; фруктовая кожура; апельсиновый,760,763,21,46,8868,2898
4,4-Methyl-2-(methylsulfanylmethyl)pent-2-enal,CSCC(C=O)=CC(C)C,,,алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ,rata,Какие из следующих описаний запаха относятся к молекуле CSCC(C=O)=CC(C)C? Выберите все подходящие из [алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,Какие из следующих описаний запаха относятся к молекуле 4-Methyl-2-(methylsulfanylmethyl)pent-2-enal? Выберите все подходящие из [алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,сернистый;резкий;травяной;пряный;,,альдегидный; луковый; сернистый,альдегидный; луковый; сернистый; чесночный; зелёный; овощной,760,770,12,24,8922,1090
5,"Butanoic acid, 3-methyl-, pentyl ester",CCCCCOC(=O)CC(C)C,,,алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ,rata,Какие из следующих описаний запаха относятся к молекуле CCCCCOC(=O)CC(C)C? Выберите все подходящие из [алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.,"Какие из следующих описаний запаха относятся к молекуле Butanoic acid, 3-methyl-, pentyl ester? Выберите все подходящие из [алкогольный; альдегидный; луковый; миндальный; амбровый; анималистический; анисовый; яблочный; абрикосовый; ароматический; бальзамический; банановый; говяжий; бергамотовый; ягодный; горький; чёрная смородина; бренди; горелый; сливочный; капустный; камфорный; карамельный; кедровый; сельдерейный; ромашковый; сырный; вишнёвый; шоколадный; корица; цитрусовый; чистый; гвоздичный; какао; кокосовый; кофейный; коньячный; варёный; охлаждающий; корковый; кумариновый; кремовый; огуречный; молочный; сухой; землистый; эфирный; жирный; ферментированный; рыбный; цветочный; свежий; фруктовая кожура; фруктовый; чесночный; газовый; гераниевый; виноградный; грейпфрутовый; травянистый; зелёный; боярышник; сеновой; фундуковый; травяной; медовый; гиацинтовый; жасминовый; сочный; кетоновый; лактонный; лавандовый; листовой; кожаный; лимонный; лилейный; солодовый; мясной; лекарственный; дынный; металлический; молочный; мятный; ландышевый; грибной; мускусный; затхлый; натуральный; ореховый; без запаха; маслянистый; луковый; апельсиновый; апельсиновый цвет; ирисовый корень; озоновый; персиковый; грушевый; фенольный; сосновый; ананасовый; сливовый; попкорн; картофельный; пудровый; резкий; редисочный; малиновый; спелый; обжаренный; розовый; ромовый; сандаловый; пикантный; резкий; дымный; мыльный; растворитель; кислый; пряный; клубничный; сернистый; потный; сладкий; чайный; терпеновый; табачный; томатный; тропический; ванильный; овощной; ветиверовый; фиалковый; тёплый; восковой; сорняковый; винный; древесный; ]. Не пишите никаких комментариев.",свежий;фруктовый;шоколадный;банановый;яблочный;,,яблочный; банановый; ананасовый; фруктовый; зелёный,яблочный; ананасовый; фруктовый; зелёный; свежий; сочный,761,763,21,23,1630,1050
